ID,age,job,marital,education,default,balance,housing,loan,contact,day,month,campaign,pdays,previous,poutcome,y
21022,33,technician,divorced,secondary,no,855,yes,no,cellular,15,may,3,-1,0,unknown,no
19142,43,management,married,tertiary,no,0,yes,no,cellular,17,nov,2,-1,0,unknown,no
10458,56,admin.,married,secondary,no,1270,yes,no,cellular,17,nov,2,165,2,other,no
12514,47,admin.,married,secondary,no,663,yes,yes,cellular,12,may,1,274,6,other,yes
22272,37,entrepreneur,married,tertiary,no,404,yes,no,cellular,28,jul,10,-1,0,unknown,no
20496,36,student,married,tertiary,no,408,no,no,unknown,20,jun,3,-1,0,unknown,no
11090,30,technician,single,secondary,no,3286,yes,no,cellular,9,apr,1,-1,0,unknown,yes
19538,41,services,married,secondary,no,803,yes,no,cellular,9,apr,4,316,3,failure,yes
15481,35,management,single,tertiary,no,1423,yes,no,unknown,20,may,1,-1,0,unknown,no
14481,40,technician,divorced,secondary,no,6,no,no,cellular,27,aug,16,-1,0,unknown,no
16874,74,retired,married,primary,no,5539,no,no,cellular,12,jul,2,159,3,failure,no
10715,60,management,married,secondary,no,0,no,no,cellular,20,may,4,87,8,failure,no
19346,36,services,married,secondary,no,1253,yes,no,cellular,11,may,2,-1,0,unknown,no
13834,38,technician,married,secondary,no,2767,yes,no,cellular,21,nov,2,-1,0,unknown,no
12697,44,technician,divorced,secondary,no,14,no,no,cellular,13,aug,1,-1,0,unknown,yes
14084,62,retired,married,secondary,no,569,no,no,cellular,4,feb,5,184,1,success,yes
15142,45,admin.,divorced,secondary,no,-288,no,yes,cellular,9,jul,2,-1,0,unknown,no
15711,62,blue-collar,married,secondary,no,272,no,no,cellular,11,nov,1,92,3,success,yes
14560,32,blue-collar,married,secondary,no,0,yes,no,unknown,28,may,3,-1,0,unknown,no
19044,33,management,married,tertiary,no,603,yes,no,cellular,29,jan,1,-1,0,unknown,no
14786,37,student,single,unknown,no,444,no,no,cellular,14,aug,1,102,5,success,yes
15458,32,technician,married,tertiary,no,401,yes,no,cellular,24,jul,1,-1,0,unknown,no
13457,45,admin.,divorced,secondary,no,479,no,no,cellular,2,feb,2,-1,0,unknown,no
13406,57,technician,married,secondary,no,3071,yes,yes,cellular,7,may,3,-1,0,unknown,no
16563,82,retired,married,secondary,no,0,no,no,telephone,12,aug,2,-1,0,unknown,no
12456,51,self-employed,married,secondary,no,1377,no,no,unknown,20,jun,2,-1,0,unknown,no
12758,30,technician,single,tertiary,no,53,no,no,cellular,29,apr,1,-1,0,unknown,yes
20410,36,management,married,tertiary,no,287,no,yes,cellular,5,aug,1,-1,0,unknown,no
19830,53,management,married,tertiary,no,1759,no,no,cellular,2,feb,3,-1,0,unknown,no
11550,51,technician,married,secondary,no,221,yes,no,unknown,7,may,3,-1,0,unknown,no
16459,46,technician,married,secondary,no,967,no,no,cellular,7,jul,3,-1,0,unknown,no
21444,36,technician,married,primary,no,4585,yes,no,unknown,29,may,3,-1,0,unknown,no
12545,65,retired,married,secondary,no,3409,no,no,cellular,15,feb,2,-1,0,unknown,no
11407,55,unknown,married,unknown,no,666,no,no,unknown,15,may,5,-1,0,unknown,no
20784,38,self-employed,married,unknown,no,10855,no,no,unknown,5,jun,2,-1,0,unknown,no
14066,60,retired,married,primary,no,949,no,yes,telephone,18,jul,2,-1,0,unknown,no
16493,34,unemployed,married,tertiary,no,10,no,no,cellular,22,aug,5,-1,0,unknown,no
20673,37,technician,divorced,secondary,yes,0,no,yes,cellular,19,nov,1,-1,0,unknown,no
22434,28,technician,single,secondary,no,541,yes,no,unknown,26,may,3,-1,0,unknown,no
10603,55,retired,married,primary,no,-90,yes,yes,unknown,7,may,2,-1,0,unknown,no
16668,30,management,single,tertiary,no,5074,yes,no,cellular,25,jul,2,-1,0,unknown,no
10612,29,admin.,single,secondary,no,163,yes,yes,unknown,16,may,1,-1,0,unknown,yes
18492,52,management,married,tertiary,no,4675,no,no,cellular,12,feb,3,-1,0,unknown,yes
15653,38,management,married,tertiary,no,1463,yes,no,cellular,25,aug,4,-1,0,unknown,no
15300,34,admin.,married,secondary,no,869,no,no,unknown,6,may,1,-1,0,unknown,yes
13104,32,management,married,tertiary,no,1388,yes,no,cellular,13,aug,1,105,1,success,no
